,title,engine,power,transmission,drive_unit,color,mileage,steering,generation,price
0,"Продажа Hyundai Grand Starex, 2018 год в Москве","дизель, 2.5 л",175 л.с.,автомат,4WD,черный,"26000, б/п по РФ",левый,,2165000
1,"Продажа Hyundai Solaris, 2012 год в Москве","бензин, 1.4 л",107 л.с.,автомат,передний,голубой,101200,левый,1 поколение,410000
2,"Продажа Dodge Challenger, 2011 год в Москве","бензин, 3.6 л",305 л.с.,автомат,задний,белый,127500,,3 поколение,1700000
3,"Продажа BMW 5-Series, 1999 год в Москве","бензин, 2.5 л",170 л.с.,механика,задний,серебристый,,левый,4 поколение,360000
4,"Продажа BMW X6, 2010 год в Москве","дизель, 3.0 л",306 л.с.,автомат,4WD,белый,145000,левый,1 поколение,1299000
5,"Продажа Honda Stepwgn, 2016 год в Москве","бензин, 1.5 л",150 л.с.,автомат,4WD,черный,"90000, б/п по РФ",правый,5 поколение,1375000
6,"Продажа Toyota Allion, 2002 год в Москве","бензин, 1.5 л",109 л.с.,автомат,передний,черный,105000,правый,1 поколение,375000
7,"Продажа Mercedes-Benz Mercedes, 2014 год в Москве","дизель, 2.2 л",163 л.с.,автомат,задний,серый,120000,левый,,2950000
8,"Продажа Porsche Cayenne, 2015 год в Москве",бензин,299 л.с.,,4WD,белый,72000,левый,,3000000
9,"Продажа Land Rover Range Rover Velar, 2017 год в Москве","бензин, 3.0 л",380 л.с.,автомат,4WD,голубой,14300,левый,1 поколение,3850000
10,"Продажа Audi A4, 2015 год в Москве","бензин, 1.8 л",170 л.с.,автомат,передний,белый,50000,левый,"4 поколение, рестайлинг",1000000
11,"Продажа Honda Stepwgn, 2017 год в Москве","бензин, 1.5 л",150 л.с.,автомат,передний,синий,б/п по РФ,правый,5 поколение,1410000
12,"Продажа Audi Q3, 2012 год в Москве","бензин, 2.0 л",211 л.с.,автомат,4WD,оранжевый,102000,левый,1 поколение,810000
13,"Продажа Land Rover Range Rover, 2011 год в Москве","дизель, 4.4 л",313 л.с.,автомат,4WD,белый,199500,левый,"3 поколение, 2 рестайлинг",1397000
14,"Продажа Citroen Jumpy, 2014 год в Москве","дизель, 2.0 л",120 л.с.,механика,передний,белый,48578,левый,"2 поколение, рестайлинг",1000000
15,"Продажа Mercedes-Benz S-Class, 2016 год в Москве","бензин, 5.5 л",585 л.с.,автомат,4WD,синий,33803,левый,6 поколение,5900000
16,"Продажа Ford Focus, 2011 год в Москве","бензин, 1.6 л",125 л.с.,,передний,серый,,левый,3 поколение,480000
17,"Продажа Land Rover Range Rover, 2010 год в Москве","дизель, 3.6 л",272 л.с.,автомат,4WD,белый,176425,левый,,1480000
18,"Продажа Mercedes-Benz S-Class, 2017 год в Москве","бензин, 3.0 л",367 л.с.,автомат,4WD,черный,,левый,"6 поколение, рестайлинг",6500000
19,"Продажа Mercedes-Benz S-Class, 2016 год в Москве","бензин, 3.0 л",333 л.с.,автомат,4WD,черный,30700,левый,6 поколение,5800000
20,"Продажа Subaru Forester, 2011 год в Москве","бензин, 2.5 л",171 л.с.,автомат,4WD,черный,177000,левый,,799999
21,"Продажа Volkswagen Touareg, 2016 год в Москве","дизель, 3.0 л",245 л.с.,автомат,4WD,черный,120000,левый,"2 поколение, рестайлинг",2299999
22,"Продажа Toyota Land Cruiser Prado, 2017 год в Москве","дизель, 2.8 л",177 л.с.,автомат,4WD,черный,28000,левый,4 поколение,3600000
23,"Продажа Nissan Serena, 2013 год в Москве","бензин, 2.0 л",144 л.с.,автомат,4WD,серый,153000,правый,4 поколение,835000
24,"Продажа BMW M5, 2019 год в Москве","бензин, 4.4 л",625 л.с.,автомат,4WD,серебристый,3600,левый,6 поколение,7600000
